BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,GenderCode,RaceDesc,MaritalDesc,TrainingType,TrainingOutcome,CurrentEmployeeRating,EngagementScore,SatisfactionScore,Work-LifeBalanceScore,TrainingDurationDays,TrainingCost,Age,PerformanceScore
NEL,Terminated,Part-Time,Zone A,Part-Time,IT/IS,Male,Black,Single,External,Failed,3,5,2,2,3,282.37,48,1
SVG,Active,Full-Time,Zone A,Full-Time,IT/IS,Female,White,Single,External,Completed,3,5,3,4,1,627.14,23,1
MSC,Active,Full-Time,Zone C,Temporary,IT/IS,Female,Black,Single,External,Incomplete,3,4,4,2,2,864.5,24,0
NEL,Active,Contract,Zone A,Temporary,IT/IS,Female,White,Married,External,Passed,3,1,3,4,4,981.64,62,1
EW,Terminated,Full-Time,Zone B,Full-Time,IT/IS,Female,Hispanic,Married,Internal,Failed,3,4,3,1,3,456.02,24,1
MSC,Terminated,Contract,Zone C,Full-Time,IT/IS,Male,Hispanic,Married,External,Passed,3,4,4,2,5,350.68,80,1
CCDR,Active,Full-Time,Zone A,Part-Time,IT/IS,Female,Hispanic,Widowed,Internal,Completed,3,2,3,5,2,119.24,34,1
MSC,Terminated,Contract,Zone A,Temporary,IT/IS,Female,Asian,Divorced,Internal,Completed,3,4,1,3,5,532.41,60,1
EW,Active,Full-Time,Zone A,Full-Time,IT/IS,Male,Black,Single,External,Incomplete,3,1,4,1,5,625.95,71,1
BPC,Active,Full-Time,Zone B,Full-Time,IT/IS,Female,White,Married,Internal,Passed,3,3,4,4,2,779.08,56,1
CCDR,Active,Full-Time,Zone B,Temporary,IT/IS,Female,Hispanic,Married,External,Completed,3,5,1,5,1,497.09,75,1
SVG,Active,Contract,Zone C,Full-Time,IT/IS,Female,Hispanic,Married,External,Failed,3,2,1,1,1,762.36,22,1
EW,Active,Contract,Zone A,Temporary,IT/IS,Female,Black,Widowed,External,Failed,3,4,5,2,4,611.15,22,1
MSC,Active,Contract,Zone C,Temporary,IT/IS,Female,Other,Divorced,Internal,Passed,3,3,2,4,3,724.95,31,1
TNS,Active,Part-Time,Zone C,Full-Time,IT/IS,Female,Hispanic,Married,Internal,Completed,3,5,3,1,5,332.9,46,0
PYZ,Terminated,Part-Time,Zone A,Full-Time,IT/IS,Male,Hispanic,Single,Internal,Incomplete,3,5,4,5,5,116.9,34,1
WBL,Active,Part-Time,Zone A,Full-Time,IT/IS,Male,White,Married,External,Completed,3,3,4,1,1,430.46,71,1
NEL,Active,Full-Time,Zone A,Full-Time,IT/IS,Male,Black,Divorced,Internal,Passed,3,2,5,2,5,881.61,45,1
MSC,Active,Contract,Zone B,Part-Time,IT/IS,Female,Hispanic,Divorced,Internal,Failed,3,4,3,3,3,454.92,31,1
TNS,Active,Part-Time,Zone B,Temporary,IT/IS,Female,Black,Widowed,External,Completed,3,4,1,5,2,381.88,21,1
WBL,Active,Contract,Zone B,Part-Time,IT/IS,Female,Other,Married,Internal,Completed,3,4,1,2,4,198.58,22,1
MSC,Active,Full-Time,Zone A,Temporary,IT/IS,Female,Black,Married,External,Failed,3,5,3,4,4,683.96,63,1
NEL,Active,Contract,Zone B,Temporary,IT/IS,Female,Other,Married,External,Completed,3,5,5,1,3,891.63,54,1
PL,Active,Contract,Zone A,Full-Time,IT/IS,Female,Asian,Divorced,Internal,Failed,3,4,5,2,4,701.87,55,3
PYZ,Active,Part-Time,Zone B,Full-Time,IT/IS,Female,Other,Married,Internal,Incomplete,3,5,1,5,4,216.73,70,3
SVG,Active,Part-Time,Zone A,Temporary,IT/IS,Female,Other,Widowed,External,Passed,3,3,3,2,5,482.47,63,1
TNS,Active,Part-Time,Zone B,Part-Time,IT/IS,Female,Black,Divorced,External,Incomplete,3,5,4,1,5,853.57,67,1
WBL,Terminated,Part-Time,Zone C,Temporary,IT/IS,Female,Hispanic,Single,Internal,Passed,3,3,2,1,1,202.97,45,3
BPC,Terminated,Part-Time,Zone C,Full-Time,IT/IS,Male,Other,Married,Internal,Passed,3,4,5,1,1,487.4,32,3
CCDR,Terminated,Part-Time,Zone B,Temporary,IT/IS,Male,Asian,Single,External,Completed,3,1,4,3,2,669.81,21,1
MSC,Active,Full-Time,Zone C,Temporary,IT/IS,Female,White,Divorced,Internal,Completed,3,4,5,1,1,645.02,30,1
TNS,Active,Full-Time,Zone A,Full-Time,IT/IS,Female,Black,Divorced,External,Completed,3,1,5,4,2,157.4,75,1
PYZ,Active,Part-Time,Zone B,Part-Time,IT/IS,Male,Asian,Widowed,External,Failed,3,4,3,5,1,131.98,40,1
PL,Active,Full-Time,Zone C,Full-Time,IT/IS,Female,White,Married,External,Incomplete,3,4,2,5,1,695.56,45,3
BPC,Active,Full-Time,Zone A,Temporary,IT/IS,Female,Black,Divorced,External,Passed,3,1,2,4,2,869.96,60,1
CCDR,Active,Part-Time,Zone B,Part-Time,IT/IS,Female,Other,Married,Internal,Completed,3,1,1,1,1,189.91,65,2
SVG,Active,Full-Time,Zone A,Full-Time,IT/IS,Female,Hispanic,Married,External,Failed,3,4,3,1,5,407.96,58,3
EW,Active,Contract,Zone B,Full-Time,IT/IS,Female,Hispanic,Single,Internal,Incomplete,3,5,5,4,1,202.91,59,1
MSC,Terminated,Part-Time,Zone A,Part-Time,IT/IS,Male,White,Widowed,Internal,Passed,3,5,4,2,4,956.95,31,1
TNS,Active,Part-Time,Zone A,Temporary,IT/IS,Female,Hispanic,Married,External,Passed,3,4,3,2,5,813.03,48,1
PYZ,Terminated,Full-Time,Zone A,Full-Time,IT/IS,Male,Other,Widowed,External,Passed,3,5,4,1,1,962.54,40,3
TNS,Active,Full-Time,Zone C,Part-Time,IT/IS,Female,Asian,Widowed,Internal,Passed,3,2,1,1,5,866.51,70,1
BPC,Active,Contract,Zone B,Full-Time,IT/IS,Male,Black,Single,Internal,Completed,3,2,3,2,4,716.52,49,1
SVG,Active,Part-Time,Zone A,Full-Time,IT/IS,Male,Black,Married,External,Completed,3,4,3,1,3,323.25,61,1
PYZ,Active,Contract,Zone C,Full-Time,IT/IS,Female,Asian,Married,Internal,Failed,3,3,4,4,2,229.0,26,1
PL,Active,Full-Time,Zone A,Full-Time,IT/IS,Female,Asian,Single,Internal,Failed,3,3,5,2,1,861.91,35,1
NEL,Active,Full-Time,Zone A,Temporary,IT/IS,Female,Black,Widowed,External,Incomplete,3,4,5,2,3,803.73,73,3
MSC,Active,Part-Time,Zone C,Full-Time,IT/IS,Female,White,Widowed,Internal,Failed,3,3,5,1,2,808.51,22,1
EW,Active,Contract,Zone A,Temporary,IT/IS,Male,Black,Single,External,Failed,3,2,4,1,4,629.16,73,2
CCDR,Terminated,Full-Time,Zone B,Full-Time,IT/IS,Female,Other,Married,External,Completed,3,5,5,2,1,994.09,50,1
BPC,Terminated,Full-Time,Zone B,Full-Time,IT/IS,Male,Asian,Single,Internal,Incomplete,3,5,4,2,5,477.78,76,3
PYZ,Terminated,Contract,Zone C,Full-Time,IT/IS,Male,Black,Divorced,Internal,Completed,3,3,2,1,4,951.27,59,1
BPC,Active,Part-Time,Zone A,Part-Time,Software Engineering,Female,Black,Married,Internal,Failed,3,2,5,5,4,510.83,62,1
NEL,Active,Part-Time,Zone A,Temporary,Software Engineering,Female,Asian,Widowed,Internal,Failed,3,4,5,3,2,582.37,72,1
WBL,Active,Contract,Zone A,Part-Time,Software Engineering,Female,White,Married,Internal,Incomplete,3,2,5,2,4,777.06,50,1
PYZ,Active,Part-Time,Zone C,Part-Time,Software Engineering,Male,Black,Single,Internal,Completed,3,3,5,3,2,824.3,63,1
SVG,Active,Full-Time,Zone B,Temporary,Software Engineering,Male,Black,Divorced,External,Passed,3,2,4,5,4,145.99,52,1
MSC,Active,Full-Time,Zone C,Part-Time,Software Engineering,Female,White,Widowed,Internal,Failed,3,5,2,1,2,838.07,62,1
SVG,Terminated,Part-Time,Zone A,Part-Time,Software Engineering,Male,Black,Widowed,External,Failed,3,2,1,5,2,667.32,20,1
BPC,Active,Contract,Zone B,Temporary,Software Engineering,Female,Hispanic,Married,External,Incomplete,3,5,2,2,2,758.18,38,1
NEL,Active,Part-Time,Zone C,Temporary,Software Engineering,Female,Other,Single,Internal,Incomplete,3,2,5,1,2,101.21,32,1
EW,Terminated,Part-Time,Zone C,Temporary,Software Engineering,Male,Hispanic,Divorced,External,Incomplete,3,2,4,2,5,332.25,29,1
MSC,Terminated,Contract,Zone A,Temporary,Software Engineering,Male,Hispanic,Married,Internal,Completed,3,1,2,3,1,803.98,74,1
TNS,Terminated,Contract,Zone A,Temporary,Software Engineering,Male,White,Single,External,Failed,3,3,5,4,3,887.08,42,1
PYZ,Active,Part-Time,Zone B,Full-Time,Software Engineering,Male,Asian,Single,External,Incomplete,3,5,4,3,2,657.85,46,1
WBL,Active,Part-Time,Zone A,Full-Time,Software Engineering,Male,Other,Single,External,Incomplete,3,4,4,1,2,895.49,69,1
NEL,Active,Contract,Zone A,Part-Time,Software Engineering,Female,White,Married,External,Passed,3,1,1,3,1,539.0,57,1
PL,Active,Part-Time,Zone B,Part-Time,Admin Offices,Female,White,Single,External,Completed,3,2,3,2,2,606.68,64,1
BPC,Active,Full-Time,Zone B,Full-Time,Admin Offices,Female,Black,Single,External,Passed,3,4,1,3,3,265.73,73,1
CCDR,Active,Part-Time,Zone A,Part-Time,Admin Offices,Female,White,Married,Internal,Incomplete,3,4,1,4,2,673.29,78,1
EW,Terminated,Full-Time,Zone A,Temporary,Software Engineering,Male,Hispanic,Widowed,External,Passed,3,1,3,5,5,436.98,44,1
MSC,Terminated,Contract,Zone C,Full-Time,Software Engineering,Female,Black,Widowed,External,Passed,3,2,1,2,4,578.58,33,1
TNS,Terminated,Full-Time,Zone C,Full-Time,Software Engineering,Male,Hispanic,Single,Internal,Failed,3,5,1,4,1,647.16,31,1
PYZ,Active,Part-Time,Zone A,Temporary,Software Engineering,Male,Black,Divorced,Internal,Failed,3,1,4,4,1,664.23,60,1
WBL,Active,Contract,Zone C,Part-Time,Software Engineering,Male,Hispanic,Divorced,Internal,Failed,3,4,4,3,4,893.07,26,1
NEL,Active,Contract,Zone A,Part-Time,Software Engineering,Female,Other,Divorced,External,Completed,3,5,3,1,5,868.98,31,1
PL,Active,Full-Time,Zone A,Temporary,Admin Offices,Female,Other,Divorced,Internal,Incomplete,3,4,1,4,5,761.95,63,1
BPC,Active,Contract,Zone A,Part-Time,Admin Offices,Female,Other,Widowed,External,Incomplete,3,5,2,5,4,431.57,72,1
CCDR,Active,Part-Time,Zone A,Full-Time,Admin Offices,Male,Other,Single,External,Incomplete,3,2,3,5,4,357.57,58,1
PYZ,Terminated,Full-Time,Zone C,Part-Time,Software Engineering,Male,Asian,Single,Internal,Incomplete,3,5,5,4,3,804.06,19,1
SVG,Active,Part-Time,Zone B,Part-Time,Software Engineering,Female,Asian,Divorced,Internal,Failed,3,3,5,4,5,729.41,41,1
TNS,Active,Contract,Zone C,Temporary,Software Engineering,Male,Black,Single,Internal,Completed,3,4,4,1,1,169.46,64,1
WBL,Active,Part-Time,Zone B,Temporary,Software Engineering,Male,White,Widowed,Internal,Failed,3,5,3,2,1,833.28,49,1
PYZ,Active,Full-Time,Zone C,Part-Time,Software Engineering,Male,Asian,Widowed,External,Completed,3,5,4,4,3,482.23,68,1
WBL,Active,Contract,Zone B,Full-Time,Software Engineering,Male,Other,Single,Internal,Incomplete,3,3,1,3,4,169.85,26,1
NEL,Active,Full-Time,Zone C,Part-Time,Software Engineering,Female,Black,Single,Internal,Failed,3,2,5,1,1,570.62,42,1
PL,Active,Full-Time,Zone A,Temporary,Admin Offices,Female,Asian,Divorced,Internal,Completed,3,1,5,5,2,724.14,41,1
BPC,Active,Part-Time,Zone A,Part-Time,Admin Offices,Male,Asian,Single,External,Failed,3,5,2,1,3,305.98,28,1
CCDR,Terminated,Part-Time,Zone C,Full-Time,Software Engineering,Male,Other,Widowed,Internal,Failed,3,5,1,4,2,646.76,27,1
SVG,Active,Contract,Zone B,Part-Time,Software Engineering,Male,Hispanic,Married,External,Failed,3,5,1,2,2,516.89,52,1
EW,Terminated,Part-Time,Zone B,Part-Time,Software Engineering,Female,Other,Widowed,External,Passed,3,2,4,5,5,520.41,37,1
MSC,Terminated,Contract,Zone A,Part-Time,Software Engineering,Male,White,Divorced,Internal,Completed,3,5,3,1,5,712.84,47,1
TNS,Terminated,Full-Time,Zone A,Full-Time,Software Engineering,Male,White,Single,Internal,Completed,3,3,1,4,3,871.12,43,1
PYZ,Active,Contract,Zone B,Temporary,Software Engineering,Male,Black,Widowed,Internal,Passed,3,1,3,4,1,228.11,80,1
WBL,Active,Full-Time,Zone C,Part-Time,Software Engineering,Female,White,Married,External,Completed,3,1,1,3,2,289.93,67,1
NEL,Active,Contract,Zone A,Temporary,Software Engineering,Female,Hispanic,Divorced,External,Incomplete,3,2,4,5,4,920.78,64,1
PL,Active,Full-Time,Zone C,Temporary,Admin Offices,Female,Black,Single,External,Completed,3,1,4,1,2,690.41,57,1
CCDR,Terminated,Full-Time,Zone A,Temporary,Software Engineering,Male,White,Single,Internal,Failed,3,3,5,4,2,211.39,60,1
SVG,Active,Contract,Zone A,Part-Time,Software Engineering,Female,Hispanic,Single,Internal,Passed,3,4,2,3,2,606.63,74,1
EW,Active,Part-Time,Zone A,Temporary,Software Engineering,Male,Asian,Widowed,Internal,Completed,3,3,1,4,5,503.99,63,1
MSC,Terminated,Part-Time,Zone B,Part-Time,Software Engineering,Male,White,Married,Internal,Completed,3,3,5,2,2,518.54,65,1
TNS,Active,Contract,Zone B,Temporary,Software Engineering,Male,Black,Widowed,Internal,Completed,3,4,5,1,1,846.43,27,1
PYZ,Active,Full-Time,Zone C,Part-Time,Software Engineering,Male,White,Divorced,Internal,Passed,3,2,4,5,3,572.94,41,1
WBL,Active,Contract,Zone B,Part-Time,Software Engineering,Female,Hispanic,Single,Internal,Incomplete,3,1,4,4,4,234.76,41,1
NEL,Active,Contract,Zone C,Full-Time,Software Engineering,Female,Hispanic,Divorced,External,Passed,3,2,1,4,4,704.7,72,1
PL,Active,Part-Time,Zone A,Full-Time,Software Engineering,Male,White,Single,External,Failed,3,1,5,2,3,533.97,30,1
PYZ,Active,Contract,Zone C,Full-Time,Software Engineering,Female,White,Widowed,Internal,Passed,3,3,4,1,2,125.7,23,1
SVG,Active,Contract,Zone C,Temporary,Software Engineering,Male,Hispanic,Widowed,Internal,Completed,3,4,2,2,2,442.06,78,1
TNS,Active,Full-Time,Zone A,Full-Time,Software Engineering,Male,Asian,Widowed,Internal,Failed,3,3,2,5,4,649.23,25,1
WBL,Active,Contract,Zone C,Temporary,Software Engineering,Male,Hispanic,Married,External,Incomplete,3,4,2,1,1,855.67,80,1
BPC,Active,Part-Time,Zone C,Full-Time,Software Engineering,Female,Asian,Widowed,Internal,Incomplete,3,4,3,3,3,256.82,49,1
CCDR,Active,Part-Time,Zone B,Full-Time,Software Engineering,Female,Black,Single,Internal,Completed,3,5,5,4,1,770.84,42,1
EW,Active,Part-Time,Zone C,Part-Time,Software Engineering,Female,Other,Single,Internal,Incomplete,3,3,3,1,2,862.33,29,1
BPC,Terminated,Part-Time,Zone A,Part-Time,Software Engineering,Male,Hispanic,Married,Internal,Failed,3,3,2,1,5,702.84,50,1
CCDR,Active,Full-Time,Zone B,Temporary,Software Engineering,Female,Black,Single,Internal,Completed,3,5,2,4,1,523.82,76,1
SVG,Terminated,Part-Time,Zone A,Part-Time,Software Engineering,Male,White,Divorced,External,Passed,3,5,4,4,1,819.86,35,1
EW,Active,Contract,Zone C,Temporary,Software Engineering,Male,Other,Widowed,External,Passed,3,5,3,4,4,486.01,23,1
MSC,Active,Full-Time,Zone C,Temporary,Software Engineering,Male,Hispanic,Single,Internal,Completed,3,4,3,5,5,769.42,40,1
TNS,Active,Part-Time,Zone A,Temporary,Software Engineering,Female,White,Married,External,Completed,3,3,2,5,5,857.65,72,1
PYZ,Active,Full-Time,Zone B,Part-Time,Software Engineering,Female,Black,Widowed,External,Completed,3,3,2,2,1,238.27,23,1
WBL,Active,Full-Time,Zone B,Part-Time,Software Engineering,Female,Other,Widowed,Internal,Failed,3,3,1,2,5,886.06,43,1
NEL,Active,Full-Time,Zone C,Temporary,Software Engineering,Male,Black,Married,Internal,Failed,3,3,1,2,1,943.8,20,1
PL,Terminated,Contract,Zone A,Part-Time,Software Engineering,Male,Black,Married,Internal,Completed,3,1,2,2,5,234.26,51,1
BPC,Active,Part-Time,Zone C,Part-Time,Software Engineering,Female,Asian,Widowed,Internal,Passed,3,2,2,3,5,179.91,41,1
CCDR,Active,Full-Time,Zone A,Full-Time,Software Engineering,Male,White,Single,Internal,Failed,3,4,4,2,4,306.3,21,1
SVG,Terminated,Full-Time,Zone A,Temporary,Software Engineering,Male,Asian,Divorced,Internal,Passed,3,3,4,1,5,103.42,38,1
EW,Active,Part-Time,Zone B,Full-Time,Software Engineering,Male,Asian,Married,Internal,Passed,3,1,2,3,4,573.29,54,1
MSC,Active,Contract,Zone C,Part-Time,Software Engineering,Female,White,Widowed,External,Incomplete,3,1,3,1,4,619.61,77,1
TNS,Active,Contract,Zone B,Temporary,Software Engineering,Female,Black,Single,Internal,Incomplete,3,5,2,4,1,947.17,27,1
PYZ,Active,Contract,Zone C,Temporary,Software Engineering,Female,Asian,Divorced,External,Passed,3,3,3,4,1,597.64,23,1
WBL,Active,Part-Time,Zone B,Full-Time,Software Engineering,Female,Hispanic,Divorced,External,Incomplete,3,2,2,1,5,861.1,21,1
NEL,Active,Part-Time,Zone C,Full-Time,Software Engineering,Male,Black,Widowed,External,Passed,3,3,1,3,4,199.14,32,1
EW,Terminated,Contract,Zone B,Part-Time,Software Engineering,Male,Asian,Divorced,External,Failed,3,1,3,3,3,526.08,57,1
MSC,Active,Part-Time,Zone B,Part-Time,Software Engineering,Male,Other,Married,External,Incomplete,3,1,4,1,5,662.15,45,1
NEL,Active,Part-Time,Zone A,Full-Time,Software Engineering,Female,Asian,Divorced,External,Completed,3,5,5,3,4,869.89,60,1
PL,Active,Contract,Zone C,Part-Time,Software Engineering,Male,White,Single,External,Completed,3,1,2,4,3,295.4,34,1
PYZ,Active,Contract,Zone B,Full-Time,Software Engineering,Male,Other,Divorced,External,Passed,3,5,5,3,5,993.13,70,1
SVG,Active,Contract,Zone A,Temporary,Software Engineering,Female,Black,Single,External,Completed,3,1,1,5,2,641.69,49,1
TNS,Active,Part-Time,Zone A,Part-Time,Software Engineering,Female,Other,Married,Internal,Incomplete,3,1,5,2,5,197.34,48,1
WBL,Active,Contract,Zone B,Part-Time,Software Engineering,Female,White,Widowed,External,Failed,3,4,3,1,2,235.15,29,1
BPC,Active,Full-Time,Zone A,Temporary,Software Engineering,Female,Black,Married,Internal,Passed,3,3,1,5,2,697.28,70,1
CCDR,Active,Part-Time,Zone C,Full-Time,Software Engineering,Female,Black,Divorced,External,Completed,3,4,3,4,1,910.33,58,1
PYZ,Active,Contract,Zone B,Temporary,Production,Male,Asian,Single,Internal,Incomplete,3,2,4,3,2,213.91,32,1
PYZ,Active,Part-Time,Zone C,Full-Time,Production,Female,Hispanic,Divorced,Internal,Completed,3,1,4,1,5,971.46,52,1
NEL,Active,Contract,Zone B,Part-Time,Production,Female,Asian,Widowed,External,Failed,3,3,1,4,5,995.52,43,1
EW,Active,Part-Time,Zone A,Full-Time,Production,Female,Other,Single,Internal,Failed,3,5,4,5,4,161.4,29,1
WBL,Active,Full-Time,Zone A,Temporary,Production,Female,Hispanic,Divorced,Internal,Passed,3,1,2,1,4,715.87,82,1
PYZ,Active,Part-Time,Zone C,Part-Time,Production,Female,Asian,Married,External,Incomplete,3,1,3,2,5,778.25,49,1
SVG,Active,Contract,Zone B,Part-Time,Production,Male,Hispanic,Divorced,Internal,Completed,3,1,2,5,1,609.5,24,1
PL,Terminated,Part-Time,Zone A,Temporary,Production,Male,Asian,Widowed,External,Failed,3,2,2,2,5,666.67,26,1
SVG,Active,Part-Time,Zone A,Part-Time,Production,Female,Other,Single,External,Incomplete,3,1,5,5,5,797.05,51,1
EW,Active,Full-Time,Zone C,Temporary,Production,Male,White,Divorced,External,Completed,3,1,4,5,3,518.56,56,1
TNS,Active,Full-Time,Zone A,Part-Time,Production,Female,White,Widowed,Internal,Passed,3,1,1,3,5,426.82,77,1
EW,Active,Part-Time,Zone A,Part-Time,Production,Female,Black,Single,External,Failed,3,5,1,4,2,150.04,66,1
BPC,Terminated,Full-Time,Zone C,Temporary,Production,Male,Asian,Widowed,External,Passed,3,5,3,1,3,308.21,64,1
PYZ,Active,Part-Time,Zone C,Temporary,Production,Male,Asian,Divorced,Internal,Completed,3,1,4,2,4,766.77,24,1
PL,Terminated,Contract,Zone A,Full-Time,Production,Female,Hispanic,Single,Internal,Incomplete,3,1,4,1,4,172.19,72,1
BPC,Active,Full-Time,Zone B,Temporary,Production,Male,Other,Single,Internal,Completed,3,2,3,3,1,742.55,26,1
BPC,Active,Contract,Zone A,Part-Time,Production,Female,Other,Single,Internal,Failed,3,4,5,1,2,231.28,28,1
TNS,Active,Full-Time,Zone A,Full-Time,Production,Male,White,Married,Internal,Completed,3,4,5,3,5,124.54,50,1
EW,Terminated,Full-Time,Zone C,Part-Time,Production,Female,White,Divorced,External,Completed,3,4,5,4,5,898.37,41,1
NEL,Active,Full-Time,Zone B,Temporary,Production,Female,Asian,Single,Internal,Passed,3,1,1,4,2,764.36,35,1
BPC,Terminated,Full-Time,Zone A,Part-Time,Production,Female,White,Widowed,Internal,Failed,3,4,1,1,5,786.57,67,1
MSC,Active,Full-Time,Zone A,Part-Time,Production,Female,White,Single,Internal,Failed,3,4,1,1,3,668.05,47,1
NEL,Active,Contract,Zone B,Part-Time,Production,Female,Asian,Divorced,External,Incomplete,3,3,3,5,2,956.92,46,1
PL,Active,Full-Time,Zone C,Part-Time,Production,Female,Hispanic,Widowed,Internal,Incomplete,3,1,3,3,1,912.27,60,1
PYZ,Active,Contract,Zone A,Part-Time,Production,Male,Black,Widowed,Internal,Incomplete,3,4,1,3,4,881.71,22,1
SVG,Terminated,Full-Time,Zone A,Full-Time,Production,Male,White,Divorced,Internal,Incomplete,3,3,4,4,4,557.68,35,1
TNS,Terminated,Full-Time,Zone C,Temporary,Production,Male,Other,Divorced,Internal,Completed,3,4,5,1,4,271.68,22,1
WBL,Active,Full-Time,Zone B,Temporary,Production,Male,Asian,Divorced,External,Completed,3,1,5,3,2,299.68,43,1
BPC,Active,Part-Time,Zone C,Part-Time,Production,Female,White,Single,Internal,Incomplete,3,4,4,5,5,440.28,25,1
CCDR,Active,Part-Time,Zone B,Temporary,Production,Female,Black,Divorced,Internal,Incomplete,3,3,3,4,4,553.83,52,1
EW,Active,Part-Time,Zone C,Full-Time,Production,Female,Hispanic,Widowed,Internal,Failed,3,1,1,4,1,428.9,40,1
MSC,Active,Contract,Zone C,Part-Time,Production,Female,White,Married,Internal,Passed,3,2,1,2,3,444.4,46,1
NEL,Active,Full-Time,Zone B,Full-Time,Production,Female,Other,Married,Internal,Completed,3,2,3,1,4,254.38,57,1
PL,Active,Full-Time,Zone A,Full-Time,Production,Female,Other,Married,Internal,Failed,3,3,2,3,1,256.21,33,1
WBL,Active,Contract,Zone B,Part-Time,Production,Male,Hispanic,Married,Internal,Incomplete,3,4,3,4,2,756.19,30,1
NEL,Terminated,Part-Time,Zone C,Temporary,Production,Male,White,Divorced,Internal,Failed,3,3,3,2,4,500.45,59,1
PL,Active,Full-Time,Zone A,Full-Time,Production,Male,White,Married,External,Incomplete,3,5,1,3,2,500.83,18,1
BPC,Active,Part-Time,Zone B,Part-Time,Production,Female,Hispanic,Married,Internal,Incomplete,3,4,2,4,1,773.8,66,1
CCDR,Terminated,Full-Time,Zone B,Part-Time,Production,Female,Other,Married,Internal,Passed,3,1,1,1,2,768.06,63,1
SVG,Active,Contract,Zone A,Part-Time,Production,Female,Hispanic,Divorced,External,Completed,3,1,5,4,3,777.7,23,1
EW,Active,Part-Time,Zone B,Part-Time,Production,Female,Black,Single,Internal,Incomplete,3,4,4,4,2,943.05,24,1
NEL,Terminated,Contract,Zone B,Full-Time,Production,Female,Hispanic,Widowed,Internal,Passed,3,1,5,5,4,475.91,58,1
PL,Terminated,Full-Time,Zone B,Part-Time,Production,Female,Hispanic,Married,External,Passed,3,1,2,4,3,107.14,73,1
BPC,Terminated,Part-Time,Zone C,Temporary,Production,Female,Asian,Single,External,Passed,3,4,1,2,1,271.49,25,1
CCDR,Active,Full-Time,Zone A,Temporary,Production,Male,Other,Widowed,Internal,Passed,3,5,4,4,2,524.23,57,1
SVG,Active,Full-Time,Zone A,Temporary,Production,Male,Other,Divorced,External,Completed,3,2,5,2,3,535.88,77,1
EW,Active,Full-Time,Zone C,Part-Time,Production,Male,Black,Single,Internal,Passed,3,3,3,5,5,270.92,65,1
MSC,Active,Full-Time,Zone B,Temporary,Production,Male,Black,Divorced,Internal,Failed,3,4,5,1,4,155.14,36,1
TNS,Active,Contract,Zone A,Temporary,Production,Male,Hispanic,Married,External,Completed,3,2,4,2,1,930.06,65,1
PYZ,Active,Part-Time,Zone C,Full-Time,Production,Female,Black,Single,Internal,Passed,3,5,3,2,1,949.81,33,1
WBL,Active,Contract,Zone A,Full-Time,Production,Female,Black,Divorced,Internal,Incomplete,3,5,5,2,1,635.31,80,1
NEL,Active,Full-Time,Zone B,Temporary,Production,Female,Asian,Married,External,Completed,3,4,4,4,3,675.04,31,1
PL,Active,Contract,Zone A,Full-Time,Production,Female,Hispanic,Widowed,Internal,Failed,3,2,4,2,3,563.38,76,1
BPC,Active,Part-Time,Zone B,Part-Time,Production,Female,Asian,Single,External,Completed,3,5,3,2,4,750.25,56,1
TNS,Active,Contract,Zone B,Full-Time,Production,Male,Hispanic,Married,Internal,Incomplete,3,3,3,4,2,401.53,72,1
SVG,Active,Contract,Zone C,Part-Time,Production,Male,Hispanic,Divorced,External,Failed,3,3,2,2,3,894.88,60,1
PYZ,Terminated,Full-Time,Zone B,Full-Time,Production,Female,Black,Single,Internal,Failed,3,1,3,5,2,247.58,76,1
PL,Active,Part-Time,Zone A,Temporary,Production,Female,Black,Married,External,Passed,3,4,1,3,3,529.0,76,1
NEL,Active,Part-Time,Zone C,Temporary,Production,Female,Asian,Married,External,Failed,3,3,2,5,5,483.99,81,1
MSC,Active,Part-Time,Zone A,Full-Time,Production,Female,White,Single,External,Incomplete,3,3,4,4,5,797.35,39,1
EW,Active,Part-Time,Zone A,Part-Time,Production,Male,Asian,Widowed,External,Passed,3,5,3,1,4,707.59,44,1
CCDR,Active,Full-Time,Zone A,Full-Time,Production,Female,Other,Divorced,External,Incomplete,3,1,1,5,2,564.48,60,1
EW,Terminated,Part-Time,Zone A,Temporary,Production,Female,Asian,Divorced,Internal,Failed,3,3,4,2,4,555.35,79,1
MSC,Terminated,Full-Time,Zone C,Part-Time,Production,Female,White,Married,Internal,Incomplete,3,1,3,2,3,338.48,34,1
NEL,Terminated,Contract,Zone A,Temporary,Production,Female,Other,Married,Internal,Failed,3,2,3,1,1,339.01,67,1
PL,Terminated,Contract,Zone A,Full-Time,Production,Male,Hispanic,Married,Internal,Incomplete,3,1,5,2,5,939.49,39,1
PYZ,Active,Part-Time,Zone A,Temporary,Production,Male,Hispanic,Married,External,Passed,3,1,4,2,1,276.47,23,1
SVG,Terminated,Full-Time,Zone A,Full-Time,Production,Male,Asian,Widowed,External,Completed,3,2,4,4,3,154.71,60,1
TNS,Active,Part-Time,Zone A,Temporary,Production,Male,Other,Divorced,External,Failed,3,1,2,4,3,674.24,44,1
WBL,Active,Part-Time,Zone B,Full-Time,Production,Female,Asian,Single,External,Failed,3,4,2,3,2,137.96,46,1
